,School Name,Address,City,State,Zip,Mail Address,Mail City,State.1,Zip.1,Phone,Grade Range,Inst Email Address,Contact Salutation,First Name,Last Name,Contact Phone,Principals Email,Contact Type
0,Oregon Outreach Inc - N Clackamas SD,14700 SE Rupert Dr,Oak Grove,OR,97267.0,3802 NE Martin Luther King Jr Blvd,Portland,OR,97212.0,(503) 234-8249, 7-12,00ibecky@gmail.com,Ms,Rebecca,Black,(503) 281-9597,001becky@gmail.com,Executive Director
1,Oregon Outreach Inc / Developing Pride,738 Sweigle St,Molalla,OR,97038.0,3802 NE Martin Luther King Jr Blvd,Portland,OR,97212.0,(503) 281-9597, 7-12,000ibecky@gmail.com,Ms,Rebecca,Black,(503) 281-9597,001becky@gmail.com,Executive Director
2,Oregon Outreach Inc. East,19125 SE Stark St,Portland,OR,97233.0,3802 NE Martin Luther King Jr Blvd,Portland,OR,97212.0,(503) 281-9597, 9-12,001becky@gmail.com,Ms,Rebecca,Black,(503) 281-9597,001becky@gmail.com,Executive Director
3,Keizer Christian Church Preschool,6945 Wheatland Rd N,Keizer,OR,97303.0,6945 Wheatland Rd N,Keizer,OR,97303.0,(503) 393-6843, Pre,,Ms,Jo Ann,Barker,,1963kcc@qwestoffice.net,Director/Teacher
4,KinderCare Learning Center,165 SW Cedar Hills Blvd,Portland,OR,97225.0,165 SW Cedar Hills Blvd,Portland,OR,97225.0,, Pre-K,301699@klcorp.com,Ms,Tina,Gushwa,(503) 641-6758,301699@klcorp.com,Center Director
5,Brighton Academy,1121 NE 7th St,Grants Pass,OR,97526.0,1121 NE 7th St,Grants Pass,OR,97526.0,(541) 474-6865, Pre-12,,,Mary,Anderson,(541) 474-6865,accts@brightonacademy.org,Administrator
6,Horizon Christian School,700 Pacific Ave,Hood River,OR,97031.0,700 Pacific Ave,Hood River,OR,97031.0,(541) 387-3200, Pre-12,admin@horizonchristianschool.org,Mr,Christopher,Herring,(541) 387-3200,admin@horizonchristianschool.org,Administrator
7,Sunshine School,2700 SE 67th Ave,Portland,OR,97206.0,,,,,(503) 775-1534, Pre-1,alicia@trinity-fellowship.com,Ms,Alicia,Oakley,(503) 775-1533,alicia@trinity-fellowship.com,Director
8,Open Meadow CRUE,7633 N Wabash,Portland,OR,97217.0,7621 N Wabash,Portland,OR,97217.0,(503) 978-1935, 10-12,andrew@openmeadow.org,Mr,Andrew,Mason,(503) 978-1935,andrew@openmeadow.org,Education Director
9,Open Meadow High School,7654 N Crawford St,Portland,OR,97203.0,7621 N Wabash,Portland,OR,97217.0,(503) 978-1935, 9-12,andrew@openmeadow.org,Mr,Andrew,Mason,(503) 488-5152,andrew@openmeadow.org,Executive Director
